category,pre_ai_mean,post_ai_mean,diff,p_value,sig
AI/Tech Complexity,15.947509279619297,25.613860886153542,9.666351606534246,2.5133540974049843e-07,***
Risk/Safety,1.9225787110166659,2.1247622934160355,0.20218358239936962,0.7285182749742187,n.s.
Regulation/Policy,2.957404817847036,2.422757247572371,-0.5346475702746649,0.34551728070372645,n.s.
Infrastructure/System,5.453653422363752,6.480010848529932,1.0263574261661796,0.01750901525812883,*
Human Error,0.9187955114943411,1.5105441053089248,0.5917485938145837,0.093863622859535,n.s.
Economic Impact,2.087775656615998,4.035133528245457,1.947357871629459,0.005922359168508302,**
