frame,pre_ai_%,post_ai_%,diff_pp,chi2,p_value,sig
company_blame,43.08943089430895,45.0,1.910569105691053,0.015213820797655025,0.9018344480070446,n.s.
systemic_risk,33.33333333333333,30.0,-3.3333333333333286,0.11798992067052771,0.7312248911486351,n.s.
technical_framing,29.268292682926827,43.75,14.481707317073173,3.8558182168429402,0.04957374149985632,*
reassurance,13.008130081300814,28.749999999999996,15.741869918699182,6.75817804620647,0.009331899311549856,**
user_impact,65.04065040650406,73.75,8.709349593495944,1.3236559085429818,0.24993698193105332,n.s.
regulation_call,47.15447154471545,23.75,-23.40447154471545,10.305689388806766,0.0013262070050606039,**
