category,pre_ai_mean,post_ai_mean,diff,p_value,sig
AI/Tech Complexity,16.406668915103534,25.613860886153542,9.207191971050008,1.6631246726425116e-07,***
Risk/Safety,2.3324802056209943,2.1247622934160355,-0.20771791220495883,0.3791850661142975,n.s.
Regulation/Policy,4.169501994062487,2.422757247572371,-1.746744746490116,0.0047207861856145734,**
Infrastructure/System,4.355939373625712,6.480010848529932,2.1240714749042198,0.0015202431359915265,**
Human Error,0.6877577361315191,1.5105441053089248,0.8227863691774057,0.005050450004159687,**
Economic Impact,2.074097932162062,4.035133528245457,1.9610355960833954,0.006169822208685827,**
