pub_date,title,section,web_url,trail_text,body_text,source,event,era,origin_file,text_for_analysis,text_length,has_full_text,likely_relevant,vader_compound,vader_pos,vader_neg,vader_neu,tb_polarity,tb_subjectivity
,Delta Cancels More Flights as It Struggles to Recover From Tech Outage,Business,https://www.nytimes.com/2024/07/22/business/delta-global-tech-outage-pete-buttigieg.html,Transportation Secretary Pete Buttigieg singled out the airline on Sunday for ongoing disruptions and “unacceptable” customer service as it continued to cancel flights.,Transportation Secretary Pete Buttigieg singled out the airline on Sunday for ongoing disruptions and “unacceptable” customer service as it continued to cancel flights.,nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,Transportation Secretary Pete Buttigieg singled out the airline on Sunday for ongoing disruptions and “unacceptable” customer service as it continued to cancel flights.,168,False,True,-0.5267,0.0,0.306,0.694,0.5,0.5
,Congress Calls for Tech Outage Hearing to Grill CrowdStrike C.E.O.,Technology,https://www.nytimes.com/2024/07/22/technology/crowdstrike-outage-congress-hearing.html,The House Homeland Security Committee called on the chief executive of the cybersecurity firm to testify on the disruption.,The House Homeland Security Committee called on the chief executive of the cybersecurity firm to testify on the disruption.,nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,The House Homeland Security Committee called on the chief executive of the cybersecurity firm to testify on the disruption.,123,False,True,0.0,0.0,0.0,1.0,0.0,0.0
,Caught in the CrowdStrike Outage? Here’s How to Get Refunds.,Travel,https://www.nytimes.com/2024/07/23/travel/crowdstrike-tech-outage-flight-compensation.html,"Air travelers paying for last-minute lodging and other expenses are entitled to be reimbursed if their flight was impacted by an event in the airline’s control, like the CrowdStrike failure. Here’s how to get your money back.","Air travelers paying for last-minute lodging and other expenses are entitled to be reimbursed if their flight was impacted by an event in the airline’s control, like the CrowdStrike failure. Here’s how to get your money back.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"Air travelers paying for last-minute lodging and other expenses are entitled to be reimbursed if their flight was impacted by an event in the airline’s control, like the CrowdStrike failure. Here’s how to get your money back.",225,True,True,0.0,0.0,0.0,1.0,0.0,0.0
,Travelers Delayed or Stuck by the CrowdStrike Outage: What Did Your Airline Provide?,Travel,https://www.nytimes.com/2024/07/23/travel/outage-airlines-vouchers-hotel-refund.html,"The flight disruptions brought on by the global I.T. failure were deemed within the control of the airlines, meaning airlines have to reimburse passengers for meals, transportation and hotels. Did your carrier live up to the requirement?","The flight disruptions brought on by the global I.T. failure were deemed within the control of the airlines, meaning airlines have to reimburse passengers for meals, transportation and hotels. Did your carrier live up to the requirement?",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"The flight disruptions brought on by the global I.T. failure were deemed within the control of the airlines, meaning airlines have to reimburse passengers for meals, transportation and hotels. Did your carrier live up to the requirement?",237,True,True,-0.4404,0.0,0.262,0.738,0.0,0.0
,The Market Meltdown Intensifies,Business,https://www.nytimes.com/2024/08/05/business/dealbook/stocks-bitcoin-markets-meltdown.html,"Fears of a hard landing are rocking global stocks again as stocks, oil and cryptocurrencies sell off.","Fears of a hard landing are rocking global stocks again as stocks, oil and cryptocurrencies sell off.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"Fears of a hard landing are rocking global stocks again as stocks, oil and cryptocurrencies sell off.",101,False,True,0.0,0.0,0.0,1.0,0.0,0.0
,CrowdStrike Hits Back in Heated Spat With Delta Over Global Tech Outage,Business,https://www.nytimes.com/2024/08/05/business/dealbook/crowdstrike-delta-tech-outage.html,The cybersecurity company said the airline should take the blame after it struggled to rebound from a software outage that caused disruptions worldwide.,The cybersecurity company said the airline should take the blame after it struggled to rebound from a software outage that caused disruptions worldwide.,nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,The cybersecurity company said the airline should take the blame after it struggled to rebound from a software outage that caused disruptions worldwide.,152,False,True,0.0,0.0,0.0,1.0,0.0,0.0
,Microsoft Says Delta Was Largely Responsible for Flight Cancellations,Business,https://www.nytimes.com/2024/08/06/business/microsoft-delta-flight-cancellations-outage.html,The software company said in a letter that Delta Air Lines had falsely blamed Microsoft for its decision to cancel thousands of flights after a tech outage.,The software company said in a letter that Delta Air Lines had falsely blamed Microsoft for its decision to cancel thousands of flights after a tech outage.,nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,The software company said in a letter that Delta Air Lines had falsely blamed Microsoft for its decision to cancel thousands of flights after a tech outage.,156,False,True,0.3182,0.223,0.0,0.777,0.2,0.55
,"Stranded in the CrowdStrike Meltdown: ‘No Hotel, No Food, No Assistance’",Travel,https://www.nytimes.com/2024/09/13/travel/crowdstrike-outage-delta-airlines.html,"Airlines pledged assistance, refunds and reimbursements to passengers whose travel had been disrupted by this summer’s software outage. Instead, passengers told us, they were on their own.","Airlines pledged assistance, refunds and reimbursements to passengers whose travel had been disrupted by this summer’s software outage. Instead, passengers told us, they were on their own.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"Airlines pledged assistance, refunds and reimbursements to passengers whose travel had been disrupted by this summer’s software outage. Instead, passengers told us, they were on their own.",188,False,True,-0.0803,0.144,0.168,0.688,0.0,0.0
,Amazon Outage Forces Hundreds of Websites Offline for Hours,Business,https://www.nytimes.com/2025/10/20/business/aws-down-internet-outage.html,"Amazon Web Services, a major provider of cloud services, cited a problem at its data center in Northern Virginia. The outage highlighted the fragility of global internet infrastructure.","Amazon Web Services, a major provider of cloud services, cited a problem at its data center in Northern Virginia. The outage highlighted the fragility of global internet infrastructure.",nyt,aws_2025,post_ai,nyt_aws_2025,"Amazon Web Services, a major provider of cloud services, cited a problem at its data center in Northern Virginia. The outage highlighted the fragility of global internet infrastructure.",185,False,True,0.0516,0.167,0.147,0.686,0.0,0.0
,What Is Amazon Web Services?,Business,https://www.nytimes.com/2025/10/20/business/amazon-web-services-aws-down-what.html,"The cloud-computing division of the internet giant is used by thousands of internet customers, many of whom reported disruptions on Monday.","The cloud-computing division of the internet giant is used by thousands of internet customers, many of whom reported disruptions on Monday.",nyt,aws_2025,post_ai,nyt_aws_2025,"The cloud-computing division of the internet giant is used by thousands of internet customers, many of whom reported disruptions on Monday.",139,False,True,0.1779,0.298,0.0,0.702,0.0,0.0
,The Showdown Behind the Shutdown,Business,https://www.nytimes.com/2025/10/20/business/dealbook/health-care-shutdown.html,"Extending subsidies for the Affordable Care Act has emerged as a major sticking point in Washington, and could carry the biggest economic consequences.","Extending subsidies for the Affordable Care Act has emerged as a major sticking point in Washington, and could carry the biggest economic consequences.",nyt,aws_2025,post_ai,nyt_aws_2025,"Extending subsidies for the Affordable Care Act has emerged as a major sticking point in Washington, and could carry the biggest economic consequences.",151,False,True,0.0,0.0,0.0,1.0,-0.4,0.7
,"U.S. Health Workers Recalled From Shutdown Furlough for Medicare, A.C.A. Enrollments",Health,https://www.nytimes.com/2025/10/23/health/medicare-obamacre-federal-workers-furlough-shutdown.html,"An estimated 3,000 employees seem to be affected. The federal agency said the return to work would occur Monday, with the costs paid by user fees collected from researchers.","An estimated 3,000 employees seem to be affected. The federal agency said the return to work would occur Monday, with the costs paid by user fees collected from researchers.",nyt,aws_2025,post_ai,nyt_aws_2025,"An estimated 3,000 employees seem to be affected. The federal agency said the return to work would occur Monday, with the costs paid by user fees collected from researchers.",173,False,True,0.0,0.0,0.0,1.0,0.0,0.0
,Smart Beds Helped Them Sleep on a Cloud. Then the Cloud Crashed.,Business,https://www.nytimes.com/2025/10/24/business/amazon-aws-outage-eight-sleep-mattress.html,The widespread outage involving the cloud-computing provider Amazon Web Services ensnared unexpected consumers earlier this week: people who just wanted a good night’s sleep.,The widespread outage involving the cloud-computing provider Amazon Web Services ensnared unexpected consumers earlier this week: people who just wanted a good night’s sleep.,nyt,aws_2025,post_ai,nyt_aws_2025,The widespread outage involving the cloud-computing provider Amazon Web Services ensnared unexpected consumers earlier this week: people who just wanted a good night’s sleep.,174,False,True,0.4019,0.197,0.0,0.803,0.21428571428571427,0.6428571428571429
