word,pre_ai_mean,post_ai_mean,diff,abs_diff
000,0.01035476383715383,0.01291501159002431,0.0025602477528704794,0.0025602477528704794
000 australia,0.0003366709832722292,0.0016555120073999843,0.0013188410241277552,0.0013188410241277552
000 companies,0.0003673954769670044,0.004120381964136305,0.0037529864871693004,0.0037529864871693004
000 flights,0.0,0.0041650886604865465,0.0041650886604865465,0.0041650886604865465
000 new,0.0014217308574490663,0.0,-0.0014217308574490663,0.0014217308574490663
000 people,0.0024035612603897317,0.001320903066639074,-0.0010826581937506577,0.0010826581937506577
10,0.007419719928323881,0.007706389600039156,0.00028666967171527436,0.00028666967171527436
10 000,0.0021625323099299164,0.0005084859647090892,-0.0016540463452208271,0.0016540463452208271
10 views,0.0014872723259973962,0.0,-0.0014872723259973962,0.0014872723259973962
10 years,0.001420738839343481,0.0010363357330766955,-0.0003844031062667855,0.0003844031062667855
100,0.003051801829335937,0.006363167922627574,0.0033113660932916366,0.0033113660932916366
100 000,0.0014018090035116894,0.0012623333099571806,-0.00013947569355450876,0.00013947569355450876
100bn,0.0014734514688219838,0.0017265397827483779,0.00025308831392639405,0.00025308831392639405
100m,0.000951051645065938,0.0019596116128810957,0.0010085599678151577,0.0010085599678151577
11,0.0032795395234656083,0.006261061454129486,0.0029815219306638776,0.0029815219306638776
12,0.002850744565254001,0.0059234241327615535,0.0030726795675075527,0.0030726795675075527
120,0.0007253574859741533,0.0017269826166536602,0.0010016251306795068,0.0010016251306795068
125,0.0016274357732578922,0.0,-0.0016274357732578922,0.0016274357732578922
13,0.003659198770295876,0.003578132736194936,-8.106603410093982e-05,8.106603410093982e-05
13bn,0.002357456307251093,0.0,-0.002357456307251093,0.002357456307251093
14,0.003483776482046018,0.003667771472048417,0.0001839949900023989,0.0001839949900023989
15,0.003571431846704714,0.003767913175352102,0.00019648132864738804,0.00019648132864738804
15 years,0.0011764142506819923,0.0,-0.0011764142506819923,0.0011764142506819923
150,0.00097779559672483,0.0008542350607132907,-0.0001235605360115393,0.0001235605360115393
16,0.003132425343427725,0.001239056979959105,-0.0018933683634686199,0.0018933683634686199
17,0.002520819416801183,0.0035183527129710006,0.0009975332961698175,0.0009975332961698175
17 year,0.00040707769203036855,0.0005551523961455555,0.000148074704115187,0.000148074704115187
