frame,pre_ai_%,post_ai_%,diff_pp,chi2,p_value,sig
company_blame,35.714285714285715,45.0,9.285714285714285,1.1084168948964868,0.292426339489173,n.s.
systemic_risk,26.190476190476193,30.0,3.8095238095238066,0.13612353931992877,0.712165562611211,n.s.
technical_framing,32.142857142857146,43.75,11.607142857142854,1.8801545887172084,0.17031657876316092,n.s.
reassurance,19.047619047619047,28.749999999999996,9.702380952380949,1.6264835164835167,0.20219011833820288,n.s.
user_impact,60.71428571428571,73.75,13.035714285714292,2.5901751643418307,0.10752844335639174,n.s.
regulation_call,32.142857142857146,23.75,-8.392857142857146,1.04454898761273,0.30676585274423857,n.s.
