word,pre_ai_mean,post_ai_mean,diff,abs_diff
000,0.011329232607659953,0.012994167182865394,0.0016649345752054404,0.0016649345752054404
000 australia,0.00047226986365364365,0.0017047311144739183,0.0012324612508202747,0.0012324612508202747
000 companies,0.0006241109409483838,0.004165985860958255,0.003541874920009871,0.003541874920009871
000 customers,0.0017066472473748176,0.00067543000734013,-0.0010312172400346875,0.0010312172400346875
000 flights,0.0,0.004094411343901226,0.004094411343901226,0.004094411343901226
000 new,0.001796961815908463,0.0,-0.001796961815908463,0.001796961815908463
000 people,0.0017923494466253664,0.0014475981865209441,-0.0003447512601044223,0.0003447512601044223
10,0.008214213014795893,0.007879044194519421,-0.000335168820276472,0.000335168820276472
10 000,0.0027701992978348246,0.0005256198461990167,-0.0022445794516358078,0.0022445794516358078
10 years,0.0021167631694831825,0.0010175868923273529,-0.0010991762771558296,0.0010991762771558296
100,0.0032149746193949145,0.0063824074338005845,0.00316743281440567,0.00316743281440567
100 000,0.0015033851226903807,0.0012975073981741497,-0.000205877724516231,0.000205877724516231
100bn,0.0008904929735738775,0.001836639493699834,0.0009461465201259564,0.0009461465201259564
100m,0.0008384483705340226,0.0019302482855657144,0.0010917999150316918,0.0010917999150316918
11,0.0027161424657075714,0.006592893282945148,0.0038767508172375766,0.0038767508172375766
12,0.0033036892034737225,0.0058179458985018724,0.00251425669502815,0.00251425669502815
120,0.0006624649434042703,0.0017096728206001676,0.0010472078771958974,0.0010472078771958974
125,0.0023278444262119797,0.0,-0.0023278444262119797,0.0023278444262119797
13,0.0025394851828413126,0.0039481150741244595,0.001408629891283147,0.001408629891283147
14,0.0035827261583666523,0.003663785632854905,8.105947448825259e-05,8.105947448825259e-05
15,0.0023058403365700296,0.0041397421874483,0.0018339018508782704,0.0018339018508782704
150,0.0005693277718273923,0.0009074696376469502,0.0003381418658195579,0.0003381418658195579
16,0.0026180059035103955,0.0012950824659694695,-0.001322923437540926,0.001322923437540926
17,0.002211727632951567,0.003522298339612125,0.0013105707066605578,0.0013105707066605578
18,0.0029072431577364327,0.0026163413971831556,-0.00029090176055327713,0.00029090176055327713
180,0.000715936645360888,0.0014228386368649029,0.0007069019915040149,0.0007069019915040149
19,0.007031270266269828,0.005062746832559818,-0.0019685234337100104,0.0019685234337100104
19 pandemic,0.0023882519554300264,0.0010120673755670368,-0.0013761845798629896,0.0013761845798629896
1982,0.0005970631723265414,0.0007664473480361487,0.0001693841757096073,0.0001693841757096073
