DATE,NUMARTS,COUNTS,THEMES,LOCATIONS,PERSONS,ORGANIZATIONS,TONE,CAMEOEVENTIDS,SOURCES,SOURCEURLS
20190702,1,,CRISISLEX_CRISISLEXREC;CYBER_ATTACK;AFFECT;,1#Malaysia#MY#MY#2.5#112.5#MY,,,"-3.48837209302326,1.74418604651163,5.23255813953488,6.97674418604651,20.3488372093023,0",,soyacincau.com,https://www.soyacincau.com/2019/07/02/cloudflare-network-website-down-outages/
20190702,1,,,1#Malaysia#MY#MY#2.5#112.5#MY,,malaysian airlines,"-0.564971751412429,5.08474576271187,5.64971751412429,10.7344632768362,22.5988700564972,1.12994350282486",,lowyat.net,https://www.lowyat.net/2019/189052/cloudflare-outage-brings-down-thousands-of-sites-across-the-globe/
20190702,1,,,"2#New York, United States#US#USNY#42.1497#-74.9384#NY",tobi lutke,cloudflare inc,"-5.02092050209205,1.25523012552301,6.27615062761506,7.53138075313808,23.4309623430962,0",856576602,theedgemarkets.com,https://www.theedgemarkets.com/article/net-defender-cloudflare-goes-down-taking-many-websites-it
20190702,1,AFFECT#10##1#United States#US#US#39.828175#-98.5795#US;,AFFECT;SCIENCE;TAX_FNCACT;TAX_FNCACT_SCIENTIST;TAX_FNCACT_LEADERS;TAX_FNCACT_WOMEN;EPU_ECONOMY_HISTORIC;TAX_FNCACT_LEADER;TAX_FNCACT_INNOVATOR;SOC_INNOVATION;,"1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK;4#London, London, City Of, United Kingdom#UK#UKH9#51.5#-0.116667#-2601889",noriko matsuoka;david hoyle,linkedin;office charles ewen;facebook,"1.68350168350168,3.03030303030303,1.34680134680135,4.37710437710438,20.8754208754209,1.34680134680135","856340946,856421354,856342177",computing.co.uk,https://www.computing.co.uk/ctg/news/3078306/cloudflare-outage-internet-down
20190702,1,,CRISISLEX_C07_SAFETY;TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_PRINCE;TAX_FNCACT_DIPLOMAT;ECON_BITCOIN;WB_698_TRADE;CRISISLEX_CRISISLEXREC;CYBER_ATTACK;,1#United States#US#US#39.828175#-98.5795#US,,poloniex exchange;united states,"-1.12676056338028,2.8169014084507,3.94366197183099,6.76056338028169,25.0704225352113,1.40845070422535",856353141,thehill.com,https://thehill.com/policy/cybersecurity/451331-websites-go-down-worldwide-due-to-cloudflare-outage
20190702,1,AFFECT#2000#popular websites#1#United States#US#US#39.828175#-98.5795#US;AFFECT#2000#popular websites#1#United States#US#US#39.828175#-98.5795#US;,AFFECT;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;EPU_ECONOMY_HISTORIC;SHORTAGE;TAX_FNCACT;TAX_FNCACT_PRINCE;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;TRAFFIC;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;ECON_BITCOIN;TAX_ECON_PRICE;CRISISLEX_C07_SAFETY;CRISISLEX_CRISISLEXREC;CYBER_ATTACK;,1#United States#US#US#39.828175#-98.5795#US,,,"-2,3.66666666666667,5.66666666666667,9.33333333333333,19,1.66666666666667",,lbc.co.uk,https://www.lbc.co.uk/news/world/cloudflare-down-thousands-of-popular-websites/
20190702,1,AFFECT#30#users#1#Hong Kong#HK#HK#22.25#114.166667#HK;,TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_PRINCE;CRISISLEX_T11_UPDATESSYMPATHY;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_AIRPORT;WB_135_TRANSPORT;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_1804_AIRPORTS;INFO_RUMOR;CRISISLEX_CRISISLEXREC;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;CYBER_ATTACK;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;PROTEST;AFFECT;SURVEILLANCE;SANCTIONS;UNGP_FORESTS_RIVERS_OCEANS;TRANSPARENCY;TAX_FNCACT_HACKER;WB_1817_CONGESTION;WB_162_TRANSPORT_ECONOMICS;MANMADE_DISASTER;MANMADE_DISASTER_SERVICE_DISRUPTION;SOC_SERVICEDISRUPTION;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_1462_WATER_SANITATION_AND_HYGIENE;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;,1#China#CH#CH#35#105#CH;1#Hong Kong#HK#HK#22.25#114.166667#HK;1#Iran#IR#IR#32#53#IR,alex henthorne-iwane,verizon,"-3.30578512396694,2.64462809917355,5.9504132231405,8.59504132231405,24.297520661157,3.88429752066116","856345506,856426453,856567028,856567141",datacenterdynamics.com,https://www.datacenterdynamics.com/analysis/cloudflare-ceo-talks-outage-was-entirely-our-problem-was-mistake-which-we-made/
20190702,1,,SHORTAGE;AFFECT;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_PRINCE;ECON_BITCOIN;EPU_CATS_MIGRATION_FEAR_FEAR;TAX_ECON_PRICE;MEDIA_SOCIAL;CRISISLEX_CRISISLEXREC;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;CRISISLEX_T01_CAUTION_ADVICE;CRISISLEX_T04_INFRASTRUCTURE;SOC_EXPRESSREGRET;WB_694_BROADCAST_AND_MEDIA;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;,"1#United States#US#US#39.828175#-98.5795#US;2#Oregon, United States#US#USOR#44.5672#-122.127#OR;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI;2#Texas, United States#US#USTX#31.106#-97.6475#TX;3#Washington, Washington, United States#US#USDC#38.8951#-77.0364#531871",,instagram;soundcloud;pinterest,"-3.25670498084291,2.4904214559387,5.74712643678161,8.23754789272031,22.4137931034483,1.14942528735632",,digitaltrends.com,https://www.digitaltrends.com/news/cloudflare-att-outages-affect-discord-websites/
20190702,1,,TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TRAFFIC;MEDIA_SOCIAL;CRISISLEX_CRISISLEXREC;ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;AFFECT;BORDER;,"1#China#CH#CH#35#105#CH;2#Pennsylvania, United States#US#USPA#40.5773#-77.264#PA;1#Jordan#JO#JO#31#36#JO",john graham-cumming;cloudflare tom strickx;mike lorenz mike;kenn white;crymydyne crymydyne,verizon,"-3.48432055749129,0.348432055749129,3.83275261324042,4.18118466898955,22.6480836236934,1.74216027874564",,itwire.com,https://www.itwire.com/networking/botched-software-update-causes-cloudflare-outage.html
20190702,1,,ECON_BITCOIN;AFFECT;WB_698_TRADE;TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_590_ECOSYSTEMS;UNGP_FORESTS_RIVERS_OCEANS;,1#South Korea#KS#KS#37#127.5#KS,,amazon web services,"-1.875,1.25,3.125,4.375,26.25,1.875",,thenextweb.com,https://thenextweb.com/hardfork/2019/07/02/cloudflare-down-cryptocurrency-coinbase-bitfinex-coinmarketcap-blockchain/
