,DATE,NUMARTS,COUNTS,THEMES,LOCATIONS,PERSONS,ORGANIZATIONS,TONE,CAMEOEVENTIDS,SOURCES,SOURCEURLS
21,20211207,1,,TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FOODSTAPLES;TAX_FOODSTAPLES_MILK;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_FNCACT_VICE_PRESIDENT;TAX_FNCACT_SENIOR_VICE_PRESIDENT;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;UNGP_FORESTS_RIVERS_OCEANS;IDEOLOGY;EPU_CATS_MIGRATION_FEAR_MIGRATION;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_PILOT;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;,1#China#CH#CH#35#105#CH;1#Ireland#EI#EI#53#-8#EI,andy jassy;niranjan ramsunder;michael dell;pat gelsinger;raghu bongula,cube club;global inc;amazon web services;cube event community;union pay venture,"1.6,2.4,0.8,3.2,22.56,2.24",,siliconangle.com,https://siliconangle.com/2021/12/07/from-monolithic-to-cloud-with-zero-disruption-a-use-case-example-for-legacy-financial-services-transformation-reinvent/
24,20211207,1,,INTERNET_BLACKOUT;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;SHORTAGE;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TAX_FNCACT_GUIDE;,1#United States#US#US#39.828175#-98.5795#US,doug madory,google;amazon web services;netflix;disney;associated press;kentik inc;mcdonald,"-4.3731778425656,1.16618075801749,5.53935860058309,6.70553935860058,23.6151603498542,0.87463556851312",1017860044,azcentral.com,https://www.azcentral.com/story/tech/2021/12/07/amazon-web-services-outage-impacts-google-fidelity-capital-one/6419782001/
25,20211207,1,,CRISISLEX_T01_CAUTION_ADVICE;SHORTAGE;GEN_HOLIDAY;SCIENCE;SOC_INNOVATION;,1#United States#US#US#39.828175#-98.5795#US,,amazon web services;disney;united states,"1.71428571428571,5.71428571428571,4,9.71428571428571,22.8571428571429,1.71428571428571",,wpst.com,https://wpst.com/amazon-web-services-experiencing-a-massive-outage/
33,20211207,1,,GEN_HOLIDAY;DELAY;EPU_ECONOMY_HISTORIC;WB_2601_TRADE_LINKAGES_SPILLOVERS_AND_CONNECTIVITY;WB_772_TRADE_FACILITATION_AND_LOGISTICS;WB_699_URBAN_DEVELOPMENT;WB_866_CONNECTIVITY_AND_LAGGING_REGIONS;WB_698_TRADE;WB_797_NATIONAL_URBAN_POLICIES;SHORTAGE;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;USPEC_UNCERTAINTY1;,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA",,amazon web services;associated press,"-3.95480225988701,0.564971751412429,4.51977401129944,5.08474576271187,18.0790960451977,0",,wral.com,https://www.wral.com/amazon-outage-impacts-shopping-web-services/20022419/
38,20211207,1,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;SHORTAGE;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TAX_ETHNICITY_GERMAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GERMAN;UNGP_FORESTS_RIVERS_OCEANS;NATURAL_DISASTER;NATURAL_DISASTER_FLOODWATERS;CRISISLEX_CRISISLEXREC;,1#Germany#GM#GM#51.5#10.5#GM;1#United States#US#US#39.828175#-98.5795#US;1#Indonesia#ID#ID#-5#120#ID,doug madory,amazon web services;netflix;disney;associated press;kentik inc;mcdonald,"-3.08641975308642,1.85185185185185,4.93827160493827,6.79012345679012,23.1481481481481,0.308641975308642",1017999715,qconline.com,https://qconline.com/news/national/major-outage-hits-amazon-web-services-many-sites-affected/article_d9554d6a-38b9-533f-a2d2-d98f05f0679f.html
39,20211207,2,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;SHORTAGE;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;,1#United States#US#US#39.828175#-98.5795#US,doug madory,amazon web services;netflix;disney;associated press;kentik inc;mcdonald,"-4.4280442804428,1.4760147601476,5.90405904059041,7.38007380073801,24.7232472324723,0.3690036900369","1017860044,1017860044",khq.com;nbcrightnow.com,https://www.khq.com/news/major-outage-hits-amazon-web-services-many-sites-affected/article_2cf534b0-578b-11ec-a8ea-130ae05f4339.html<UDIV>https://www.nbcrightnow.com/regional/major-outage-hits-amazon-web-services-many-sites-affected/article_f1f7d4d2-76cc-5f75-93de-b748c4a43403.html
40,20211207,1,"AFFECT#38##2#New York, United States#US#USNY#42.1497#-74.9384#NY;",WB_678_DIGITAL_GOVERNMENT;WB_2384_APPLICATION_PROGRAMMING_INTERFACES;WB_2375_ICT_METHODS_AND_PROCEDURES;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;GENERAL_HEALTH;MEDICAL;TAX_ETHNICITY;TAX_ETHNICITY_CANADIANS;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;CRISISLEX_C07_SAFETY;WB_1252_MOBILE_BANKING;WB_371_BRANCHLESS_BANKING;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_363_FINANCIAL_INCLUSION;WB_694_BROADCAST_AND_MEDIA;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;AFFECT;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#Canada#CA#CA#60#-96#CA",,al jazeera media network;new york times;amazon web services;fastly inc;cnn,"-0.714285714285714,1.07142857142857,1.78571428571429,2.85714285714286,21.4285714285714,0.714285714285714",,cbc.ca,https://www.cbc.ca/news/business/aws-outage-1.6276913
41,20211207,1,,EPU_ECONOMY_HISTORIC;SHORTAGE;GENERAL_HEALTH;MEDICAL;MEDIA_SOCIAL;,1#United States#US#US#39.828175#-98.5795#US,,amazon web services;facebook;disney;united states,"-2.35849056603774,0.943396226415094,3.30188679245283,4.24528301886792,23.1132075471698,0.471698113207547",,crn.com,https://www.crn.com/news/cloud/aws-outage-takes-down-several-major-sites-and-services
42,20211207,1,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;SHORTAGE;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;,1#United States#US#US#39.828175#-98.5795#US,doug madory,amazon web services;netflix;disney;associated press;kentik inc;mcdonald,"-3.67892976588629,1.67224080267559,5.35117056856187,7.02341137123746,24.0802675585284,1.33779264214047",1017860044,starherald.com,https://starherald.com/news/national/major-outage-hits-amazon-web-services-many-sites-affected/article_00127790-4b7c-53f9-985e-1ad8bba597b3.html
43,20211207,1,,AFFECT;,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA",,amazon web services;netflix;disney,"-3.57142857142857,0,3.57142857142857,3.57142857142857,24.1071428571429,0","1017885210,1017886005",wktv.com,https://www.wktv.com/content/news/Amazon-Web-Services-outage-affecting-several-other-platforms-575877421.html
