,DATE,NUMARTS,COUNTS,THEMES,LOCATIONS,PERSONS,ORGANIZATIONS,TONE,CAMEOEVENTIDS,SOURCES,SOURCEURLS
247,20211208,1,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EPU_ECONOMY_HISTORIC;AFFECT;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;SHORTAGE;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;MANMADE_DISASTER_IMPLIED;SOC_EXPRESSREGRET;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TECH_AUTOMATION;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;doug madory;richard rocha;jeff bezos;morgan durrant;andy jassy;carl malamud;scott vazin,google;instagram;amazon web services;toyota;associated press;microsoft;facebook;mcdonald;synergy research;jetblue;kentik inc;cnn;exchange commission;delta air lines;new york times;infrastructure security agency;netflix;disney,"-4.35865504358655,1.12079701120797,5.47945205479452,6.60024906600249,21.2951432129514,0.74719800747198","1018076690,1018076704,1018076705,1018076710,1018037801,1018077318",ctvnews.ca,https://www.ctvnews.ca/business/major-outage-at-amazon-disrupts-businesses-across-the-u-s-1.5698599
248,20211208,1,,EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;SHORTAGE;AFFECT;GENERAL_HEALTH;MEDICAL;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_OFFICIALS;TAX_FNCACT_STUDENTS;,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA",,service health dashboard;amazon web services;gelman library,"-0.625,2.5,3.125,5.625,27.5,2.5",,gwhatchet.com,https://www.gwhatchet.com/2021/12/07/gelman-library-services-impacted-in-amazon-web-services-outage/
250,20211208,1,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;CRISISLEX_C07_SAFETY;CYBER_ATTACK;WB_670_ICT_SECURITY;UNGP_FORESTS_RIVERS_OCEANS;SHORTAGE;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT;TAX_FNCACT_PROFESSOR;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_DRIVER;,"3#San Diego, California, United States#US#USCA#32.7153#-117.157#1661377;3#University Of San Diego, California, United States#US#USCA#32.772#-117.192#250826",nikolas behar;jim stickley,amazon web services;netflix;university of san diego,"-1.54525386313466,1.1037527593819,2.64900662251656,3.75275938189845,21.8543046357616,2.64900662251656","1018059059,1018117500",nbcsandiego.com,https://www.nbcsandiego.com/news/local/san-diego-cyber-experts-explain-tuesdays-big-amazon-outage/2811562/
251,20211208,1,,WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_590_ECOSYSTEMS;UNGP_FORESTS_RIVERS_OCEANS;SHORTAGE;AFFECT;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA",,amazon web services;netflix;disney,"-2.76243093922652,1.10497237569061,3.86740331491713,4.97237569060773,17.1270718232044,1.10497237569061",,govtech.com,https://www.govtech.com/question-of-the-day/what-caused-tuesdays-major-amazon-outage
252,20211208,1,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,MANMADE_DISASTER_IMPLIED;URBAN;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;EPU_ECONOMY_HISTORIC;AFFECT;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;SHORTAGE;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;WB_569_HYDROMET_SERVICES;WB_568_CLIMATE_SERVICES;WB_567_CLIMATE_CHANGE;SOC_EXPRESSREGRET;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TECH_AUTOMATION;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;ted s warren;doug madory;richard rocha;jeff bezos;morgan durrant;andy jassy;carl malamud;scott vazin,google;instagram;amazon web services;toyota;associated press;microsoft;facebook;mcdonald;synergy research;jetblue;kentik inc;cnn;exchange commission;delta air lines;new york times;infrastructure security agency;netflix;disney,"-4.08366533864542,1.09561752988048,5.1792828685259,6.27490039840637,21.8127490039841,0.49800796812749","1018036643,1018076689,1018036680,1018076702,1018076709,1018076710,1018037801,1018077318",winnipegfreepress.com,https://www.winnipegfreepress.com/business/major-outage-at-amazon-disrupts-businesses-across-the-us-575880472.html
254,20211208,1,,CRISISLEX_C07_SAFETY;WB_1252_MOBILE_BANKING;WB_371_BRANCHLESS_BANKING;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_363_FINANCIAL_INCLUSION;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;WB_698_TRADE;WB_2384_APPLICATION_PROGRAMMING_INTERFACES;WB_2375_ICT_METHODS_AND_PROCEDURES;MANMADE_DISASTER_IMPLIED;AFFECT;SHORTAGE;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY",doug madory;walt disney,amazon web services;fastly inc;cnn;walt disney;al jazeera media network;new york times;netflix;disney,"-2.74914089347079,1.03092783505155,3.78006872852234,4.81099656357388,16.8384879725086,0.343642611683849",,ctvnews.ca,https://www.ctvnews.ca/business/amazon-cloud-outage-hits-major-websites-streaming-apps-1.5697137
255,20211208,1,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;MANMADE_DISASTER_IMPLIED;SOC_EXPRESSREGRET;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SHORTAGE;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"1#United States#US#US#39.828175#-98.5795#US;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;morgan durrant;doug madory;richard rocha;carl malamud;scott vazin,amazon web services;toyota;associated press;jetblue;kentik inc;exchange commission;delta air lines;infrastructure security agency;netflix;disney;facebook;mcdonald,"-3.61247947454844,1.80623973727422,5.41871921182266,7.22495894909688,21.6748768472906,0.821018062397373","1018058301,1018036643,1018036680,1018036683,1018037801,1018038102,1018059102",sunstar.com.ph,https://www.sunstar.com.ph/article/1915289/Network/World/Major-outage-hits-Amazon-Web-Services-many-sites-affected
256,20211208,1,,CRISISLEX_C07_SAFETY;WB_1252_MOBILE_BANKING;WB_371_BRANCHLESS_BANKING;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_363_FINANCIAL_INCLUSION;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;WB_698_TRADE;WB_2384_APPLICATION_PROGRAMMING_INTERFACES;WB_2375_ICT_METHODS_AND_PROCEDURES;MANMADE_DISASTER_IMPLIED;AFFECT;SHORTAGE;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY",doug madory;walt disney,amazon web services;fastly inc;cnn;walt disney;al jazeera media network;new york times;netflix;disney,"-2.72108843537415,1.02040816326531,3.74149659863946,4.76190476190476,16.6666666666667,0.340136054421769",,rappler.com,https://www.rappler.com/technology/amazon-cloud-outage-december-7-2021/
257,20211208,4,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EPU_ECONOMY_HISTORIC;AFFECT;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;SHORTAGE;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;MANMADE_DISASTER_IMPLIED;SOC_EXPRESSREGRET;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TECH_AUTOMATION;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;doug madory;richard rocha;jeff bezos;morgan durrant;andy jassy;carl malamud;scott vazin,google;instagram;amazon web services;toyota;associated press;microsoft;facebook;mcdonald;synergy research;jetblue;kentik inc;cnn;exchange commission;delta air lines;new york times;infrastructure security agency;netflix;disney,"-4.33168316831683,1.11386138613861,5.44554455445545,6.55940594059406,21.2871287128713,0.618811881188119","1018076690,1018076703,1018076704,1018076705,1018076710,1018037801,1018077318,1018076690,1018076703,1018076704,1018076705,1018076710,1018037801,1018077318,1018076690,1018076703,1018076704,1018076705,1018076710,1018037801,1018077318,1018076690,1018076703,1018076704,1018076705,1018076710,1018037801,1018077318",idahostatejournal.com;lancasteronline.com;lancasteronline.com;idahostatejournal.com,https://www.idahostatejournal.com/news/national/major-outage-at-amazon-disrupts-businesses-across-the-us/article_0e562984-e109-50d1-9171-03b7f7f1cf38.html<UDIV>https://lancasteronline.com/business/nation/major-outage-at-amazon-disrupts-businesses-across-the-us/article_95918166-71e7-5689-bb06-7d297b14b4d8.html<UDIV>https://lancasteronline.com/business/nation/major-outage-at-amazon-disrupts-businesses-across-the-us/article_934cfe5d-b32b-57b9-9ff3-6ba170b00f53.html<UDIV>https://www.idahostatejournal.com/news/national/major-outage-at-amazon-disrupts-businesses-across-the-us/article_953c69a8-59ed-539d-b123-29a1cad2594c.html
261,20211208,1,"AFFECT#1#Amazon US East#2#New York, United States#US#USNY#42.1497#-74.9384#NY;",CRIME_COMMON_ROBBERY;TAX_FNCACT;TAX_FNCACT_THIEVES;DELAY;MEDIA_MSM;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_1160_SHOCKS_AND_VULNERABILITY;WB_695_POVERTY;TAX_FNCACT_SPOKESPERSON;AFFECT;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FOODSTAPLES;TAX_FOODSTAPLES_EGGS;CYBER_ATTACK;WB_670_ICT_SECURITY;TAX_FNCACT_LECTURER;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;EDUCATION;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;UNGP_FORESTS_RIVERS_OCEANS;SHORTAGE;MEDIA_SOCIAL;TAX_FNCACT_EVANGELIST;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_590_ECOSYSTEMS;TAX_DISEASE;TAX_DISEASE_DISRUPTIVE;INTERNET_BLACKOUT;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;EPU_ECONOMY_HISTORIC;CRISISLEX_C07_SAFETY;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;EPU_CATS_NATIONAL_SECURITY;TAX_FNCACT_MANAGER;EPU_CATS_MIGRATION_FEAR_MIGRATION;TRANSPARENCY;PROTEST;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United Kingdom#UK#UK#54#-4#UK",andy jassy;sean obrien;richard rocha;jeff bezos;servaas verbiest,google;instagram;yale law school;amazon web services;ibm;associated press;microsoft;synergy research group;facebook;sungard availability services;akamai;oracle;cnn;new york times;netflix;disney;national security agency,"-4.11840411840412,1.15830115830116,5.27670527670528,6.43500643500643,20.8494208494208,0.772200772200772","1018201760,1018105590",cbsnews.com,https://www.cbsnews.com/news/what-caused-amazons-outage-will-there-be-more/
262,20211208,1,,,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA",,amazon web services;netflix;disney,"-1.09489051094891,2.18978102189781,3.28467153284672,5.47445255474453,20.4379562043796,1.09489051094891","1018038159,1018038186",wegotthiscovered.com,https://wegotthiscovered.com/tv/amazon-server-outage-causing-problems-with-deliveries-alexa-and-disney/
264,20211208,1,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EPU_ECONOMY_HISTORIC;AFFECT;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;SHORTAGE;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;MANMADE_DISASTER_IMPLIED;SOC_EXPRESSREGRET;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TECH_AUTOMATION;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;doug madory;richard rocha;jeff bezos;morgan durrant;andy jassy;carl malamud;scott vazin,google;instagram;amazon web services;toyota;associated press;microsoft;facebook;mcdonald;synergy research;jetblue;kentik inc;cnn;exchange commission;delta air lines;new york times;infrastructure security agency;netflix;disney,"-4.31565967940814,1.10974106041924,5.42540073982737,6.53514180024661,21.0850801479655,0.61652281134402","1018076690,1018076703,1018076704,1018076705,1018076710,1018037801,1018077318",gasiantimes.com,https://gasiantimes.com/2021/12/08/major-outage-at-amazon-disrupts-businesses-across-the-us/
265,20211208,1,,GENERAL_HEALTH;MEDICAL;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_635_PUBLIC_HEALTH;WB_1464_HEALTH_OF_THE_DISABLED;WB_621_HEALTH_NUTRITION_AND_POPULATION;DELAY;USPEC_UNCERTAINTY1;EPU_ECONOMY_HISTORIC;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;TAX_FNCACT_WORKER;CRISISLEX_C07_SAFETY;TAX_FNCACT_SPOKESWOMAN;TAX_FNCACT_FOUNDER;WB_678_DIGITAL_GOVERNMENT;WB_2947_OPERATING_SYSTEMS;WB_667_ICT_INFRASTRUCTURE;WB_669_SOFTWARE_INFRASTRUCTURE;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA;1#United States#US#US#39.828175#-98.5795#US;2#Washington, United States#US#USWA#47.3917#-121.571#WA;3#Seattle, Washington, United States#US#USWA#47.6062#-122.332#1512650",kristin brown;richard rocha;jeff bezos;emma daniels,amazon web services;washington post;gartner;united states;microsoft,"-4.32900432900433,1.08225108225108,5.41125541125541,6.49350649350649,19.2640692640693,0.649350649350649",,iol.co.za,https://www.iol.co.za/technology/amazons-cloud-computing-unit-problems-take-down-websites-services-2db5e64d-843a-5afa-a7f6-a26d31634236
267,20211208,1,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EPU_ECONOMY_HISTORIC;AFFECT;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;URBAN;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;SHORTAGE;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK",andy jassy;richard rocha;jeff bezos;carl malamud,instagram;google;amazon web services;associated press;synergy research;cnn;microsoft;doug madory at kentik inc;exchange commission;new york times;facebook,"-4.51866404715128,0.982318271119843,5.50098231827112,6.48330058939096,20.6286836935167,1.57170923379175",,borneobulletin.com.bn,https://borneobulletin.com.bn/major-outage-at-amazon-disrupts-us-businesses/
268,20211208,1,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_678_DIGITAL_GOVERNMENT;WB_667_ICT_INFRASTRUCTURE;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SHORTAGE;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;AFFECT;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_SPOKESPERSON;SOC_EXPRESSREGRET;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;andy jassy;morgan durrant;doug madory;jeff bezos;carl malamud;scott vazin,google;instagram;amazon web services;toyota;microsoft;facebook;mcdonald;synergy research;jetblue;kentik inc;cnn;exchange commission;delta air lines;new york times;infrastructure security agency;netflix;disney,"-4.63121783876501,1.20068610634648,5.83190394511149,7.03259005145798,21.7838765008576,0.857632933104631","1018076690,1018076703,1018076704,1018076705,1018076710,1018037801,1018077318",kstp.com,https://kstp.com/business/major-outage-amazon-disrupts-businesses-across-us/6325373/?cat=12510
269,20211208,1,,TAX_ETHNICITY;TAX_ETHNICITY_ARAB;CRISISLEX_C07_SAFETY;WB_1252_MOBILE_BANKING;WB_371_BRANCHLESS_BANKING;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_363_FINANCIAL_INCLUSION;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;WB_698_TRADE;WB_2384_APPLICATION_PROGRAMMING_INTERFACES;WB_2375_ICT_METHODS_AND_PROCEDURES;MANMADE_DISASTER_IMPLIED;AFFECT;SHORTAGE;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;4#Gulf News, Dubayy, United Arab Emirates#AE#AE03#25.1877#55.2529#11414118",doug madory;walt disney,amazon web services;fastly inc;cnn;walt disney;al jazeera media network;new york times;netflix;disney,"-2.3728813559322,1.35593220338983,3.72881355932203,5.08474576271187,17.6271186440678,0.338983050847458",,gulfnews.com,https://gulfnews.com/business/retail/amazon-outage-hits-major-websites-streaming-apps-1.1638899250524
