category,pre_ai_mean,post_ai_mean,diff,p_value,sig
AI/Tech Complexity,15.012850109163129,23.10658732809245,8.09373721892932,9.042394440663873e-07,***
Risk/Safety,1.9150461911340118,1.93067498855085,0.015628797416838314,0.8314485547644651,n.s.
Regulation/Policy,2.857570524722772,2.358626800325912,-0.49894372439685997,0.2433588107425031,n.s.
Infrastructure/System,3.9456972511128985,5.411642434129758,1.46594518301686,0.013672581448080043,*
Human Error,1.1190395803454976,1.1122711732073962,-0.00676840713810134,0.5403834678767474,n.s.
Economic Impact,2.367778900353547,3.3649478067574536,0.9971689064039064,0.11586451115341581,n.s.
