frame,pre_ai_mean,post_ai_mean,diff,p_value,sig
company_blame,0.768847164232058,0.794312378991842,0.025465214759784027,0.7233998504718814,n.s.
systemic_risk,0.5898735226951143,0.6634290056286449,0.07355548293353065,0.6223435867656404,n.s.
technical_framing,1.1901308739431729,1.0003540078983093,-0.18977686604486355,0.6538915648229058,n.s.
reassurance,0.43035515373989397,0.5705207734948272,0.14016561975493325,0.9700313064864015,n.s.
user_impact,2.9209895205626593,3.5031567323526662,0.582167211790007,0.4691775896577971,n.s.
regulation_call,0.7505179187476457,0.5852923789034509,-0.16522553984419486,0.10871291846221555,n.s.
