frame,pre_ai_%,post_ai_%,diff_pp,chi2,p_value,sig
company_blame,41.41414141414141,40.458015267175576,-0.9561261469658362,0.00011236721126945228,0.9915423106508351,n.s.
systemic_risk,31.313131313131315,27.480916030534353,-3.8322152825969624,0.23696579636497941,0.6264062169608446,n.s.
technical_framing,30.303030303030305,32.82442748091603,2.5213971778857243,0.0695457436040004,0.791999328232609,n.s.
reassurance,20.2020202020202,19.083969465648856,-1.1180507363713446,0.001917253825650804,0.9650746223971672,n.s.
user_impact,60.60606060606061,58.778625954198475,-1.8274346518621343,0.02071750686399181,0.8855511867166066,n.s.
regulation_call,30.303030303030305,19.84732824427481,-10.455702058755495,2.8030292743046106,0.09408639242825012,n.s.
