_id,pub_date,headline,web_url,snippet,lead_paragraph,section,byline,type_of_material,source
nyt://article/fc00a8ce-6d7f-5189-83dd-aa89c159fb30,2020-12-14 12:35:23+00:00,Google’s apps crash in a worldwide outage.,https://www.nytimes.com/2020/12/14/business/google-down-worldwide.html,"The tech giant’s popular services like Gmail, Hangouts, Meet and YouTube went offline, halting work across the globe.",,Business,By Adam Satariano,News,The New York Times
nyt://article/f834c0a4-9a0b-541c-990c-eac30c6fb9ae,2020-12-14 19:23:03+00:00,Your Tuesday Briefing,https://www.nytimes.com/2020/12/14/briefing/virus-vaccine-australia-new-zealand-google.html,The U.S. rolls out vaccines.,,Briefing,By Melina Delkic,briefing,The New York Times
nyt://article/c9f62752-bb5f-5163-ae9b-2df60d13e77e,2020-12-14 22:37:02+00:00,"Vaccines, Electoral College, Google: Your Monday Evening Briefing",https://www.nytimes.com/2020/12/14/briefing/vaccines-electoral-college-google.html,Here’s what you need to know at the end of the day.,,Briefing,By Victoria Shannon and Sarah Hughes,briefing,The New York Times
nyt://article/ba9de9ff-5fc1-5251-97c8-3618cde9afee,2020-12-15 03:10:12+00:00,Your Tuesday Briefing,https://www.nytimes.com/2020/12/14/briefing/coronavirus-england-joe-biden-big-tech.html,Here's what you need to know.,,Briefing,By Natasha Frost,briefing,The New York Times
nyt://article/2a1b28a8-4c81-5a99-b04e-cc61358b6e86,2020-12-15 12:01:29+00:00,Blade Takes Off for the Stock Markets,https://www.nytimes.com/2020/12/15/business/dealbook/blade-helicopter-spac.html,The private helicopter taxi company is merging with a blank-check fund.,,Business,"By Andrew Ross Sorkin, Jason Karaian, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",News,The New York Times
nyt://article/6751705e-8a50-57b1-b139-2fc3ef7cf767,2020-12-18 17:45:38+00:00,Big Tech Should Try Radical Candor,https://www.nytimes.com/2020/12/18/technology/big-tech-should-try-radical-candor.html,"As the power of Google, Apple and other tech giants grows, the companies should do more to explain how they work.",,Technology,By Shira Ovide,News,The New York Times
