pub_datetime_utc,headline,snippet_or_abstract,lead_paragraph,web_url,section,byline,likely_outage
2021-10-14 09:00:09+00:00,"Adam Schiff on Facebook, Fox News and the Trump Cult",The congressman gives an update on the Jan. 6 committee and talks about the future of Trump and the country.,"Since this interview was taped, the House select committee investigating the Jan. 6 Capitol riot has issued an additional subpoena, bringing the number of subpoenas to 19.",https://www.nytimes.com/2021/10/14/opinion/sway-kara-swisher-adam-schiff.html,Opinion,By ‘Sway',False
2021-10-14 19:05:10+00:00,"YouTube’s stronger election misinformation policies had a spillover effect on Twitter and Facebook, researchers say.","The prevalence of videos claiming fraud dropped sharply, according to New York University’s Center for Social Media and Politics.","YouTube’s stricter policies against election misinformation was followed by sharp drops in the prevalence of false and misleading videos on Facebook and Twitter, according to new research released on Thursday, underscoring the video service’s power across social media.",https://www.nytimes.com/2021/10/14/technology/distortions-youtube-policies.html,Technology,By Davey Alba,False
2021-10-16 09:00:18+00:00,Instagram Struggles With Fears of Losing Its ‘Pipeline’: Young Users,"The app, hailed as Facebook’s growth engine, has privately wrestled with retaining and engaging teenagers, according to internal documents.","SAN FRANCISCO — When Instagram reached one billion users in 2018, Mark Zuckerberg, Facebook’s chief executive, called it “an amazing success.” The photo-sharing app, which Facebook owns, was widely hailed as a hit with young people and celebrated as a growth engine for the social network.",https://www.nytimes.com/2021/10/16/technology/instagram-teens.html,Technology,"By Sheera Frenkel, Ryan Mac and Mike Isaac",False
2021-10-17 14:07:51+00:00,Boston Found a Top Reliever in the Yankees System. Blame Instagram.,Garrett Whitlock was rehabbing from elbow surgery when the Red Sox saw his videos on social media. Getting him for a pittance from a rival was icing on the cake.,The Jeep Wrangler with the Yankees tire cover became a familiar sight at the Central Alabama Baseball Academy in 2020.,https://www.nytimes.com/2021/10/17/sports/baseball/garrett-whitlock-boston-red-sox.html,Sports,By Gary Phillips,False
2021-10-18 09:00:05+00:00,Is Mark Zuckerberg a Man Without Principles?,The veteran tech journalist Walt Mossberg unpacks the Facebook Files with historical context and personal anecdotes.,"After leaked internal documents in The Wall Street Journal, whistle-blower testimony on Capitol Hill, a global server outage and drops in share price, Facebook has recently taken (another) spectacular beating. But the veteran tech journalist Walt Mossberg says none of it has been a surprise. A longtime friend and mentor of Kara Swisher, he tells her, “I think the company is fundamentally unethical.” And, drawing on his experience covering controversial leaders, including Steve Jobs and Bill Gates (as he calls them, “the old guard”), Mossberg says the Facebook C.E.O. is still an aberration: “In my encounters with Mark Zuckerberg, I’ve never been able to discover any principles.”",https://www.nytimes.com/2021/10/18/opinion/sway-kara-swisher-walt-mossberg.html,Opinion,By ‘Sway',False
2021-10-19 17:34:26+00:00,Facebook will pay up to $14 million to settle claims it favored foreign workers.,"The Justice Department sued the company in December, arguing that Facebook had declined to “recruit, consider or hire” qualified United States workers for more than 2,000 positions.",WASHINGTON — Facebook agreed on Tuesday to pay up to $14.25 million to settle claims brought by the federal government in the waning days of the Trump administration that the company had discriminated against United States workers.,https://www.nytimes.com/2021/10/19/technology/facebook-foreign-workers.html,Technology,By David McCabe,False
2021-10-20 09:00:17+00:00,Mark Zuckerberg will be added to a Facebook privacy lawsuit.,"The District of Columbia case, which grew out of the Cambridge Analytica scandal, could expose the chief executive to financial and other penalties.","WASHINGTON — The attorney general for the District of Columbia on Wednesday added Facebook’s chief executive, Mark Zuckerberg, to a consumer protection lawsuit, in one of the first efforts by a regulator to expose him personally to potential financial and other penalties. The attorney general, Karl Racine, said that continuing interviews and reviews of internal documents for the case had revealed that Mr. Zuckerberg played a much more active role in key decisions than prosecutors had known.",https://www.nytimes.com/2021/10/20/technology/mark-zuckerberg-facebook-lawsuit.html,Technology,By Cecilia Kang,False
2021-10-21 05:29:55+00:00,Late Night Suggests a Few New Names for Facebook,Stephen Colbert proposed names like “Aunt Brenda’s Three-Paragraph Rant-a-torium” or “Best Fun Times America Website.”,"Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",https://www.nytimes.com/2021/10/21/arts/television/stephen-colbert-facebook-name.html,Arts,By Trish Bendix,False
2021-10-21 09:00:11+00:00,Will Maria Ressa’s Nobel Peace Prize Force Mark Zuckerberg to Wake Up?,"The journalist, whose reporting has taken on the president of the Philippines and the C.E.O. of Facebook, discusses the “atom bomb” that social media set off in our information ecosystem.","Maria Ressa and Dmitri Muratov recently took home the Nobel Peace Prize, marking the first time working journalists have won the award since 1935. Ressa believes the Norwegian Nobel Committee’s decision to recognize journalists this year sends a signal that, once again, “we are on the brink of the rise of fascism.” Through her digital media company Rappler, Ressa has been on the front lines of covering President Rodrigo Duterte’s regime in the Philippines, exposing the leader’s tactics of “violence and fear.” She also sounded the alarm on the role that social media platforms have played in the rise of leaders like Duterte and Donald Trump, saying that Facebook in particular “exploded an atom bomb” by amplifying misinformation and propaganda.",https://www.nytimes.com/2021/10/21/opinion/sway-kara-swisher-maria-ressa.html,Opinion,By ‘Sway',False
2021-10-21 12:05:05+00:00,Facebook’s oversight board faults its policy on preferential treatment.,The social network’s oversight board took aim at an internal program that gives prominent users special leeway on rules.,The panel  appointed by Facebook to review its policy decisions sharply criticized the company on Thursday for not being transparent about an internal program that gives prominent users preferential treatment on the social network.,https://www.nytimes.com/2021/10/21/business/facebook-oversight-board-members-criticism.html,Business Day,By Adam Satariano,False
