pub_datetime_utc,headline,snippet_or_abstract,lead_paragraph,web_url,section,byline,likely_outage
2021-10-05 13:23:42+00:00,"Frances Haugen: ‘Facebook’s products harm children, stoke division, weaken our democracy.’",Ms. Haugen is testifying before a Senate subcommittee.,"Frances Haugen, a former Facebook product manager, will appear before a Senate hearing on Tuesday to push for more regulation of Facebook. Below is an excerpt from the opening statement of her written testimony.",https://www.nytimes.com/2021/10/05/technology/haugen-facebook.html,Technology,,False
2021-10-05 14:17:11+00:00,Where are Mark Zuckerberg and Sheryl Sandberg?,Mr. Zuckerberg and Ms. Sandberg are deliberately avoiding public comment on the leaked documents.,"Hours before “60 Minutes” broadcast an interview on Sunday with a whistle-blower who has roiled Facebook, Mark Zuckerberg, the company’s chief executive, posted a video online.",https://www.nytimes.com/2021/10/05/technology/mark-zuckerberg-sheryl-sandberg-facebook-whistleblower.html,Technology,By Ryan Mac,False
2021-10-05 14:35:54+00:00,Teenage girls say Instagram’s mental health impacts are no surprise.,"Among young people, the idea that Instagram can hurt someone’s self-image is widely discussed.","Annie Zhu got an Instagram account during her freshman year of high school. At first, she curated her profile carefully, showing off different outfits and looks. She followed body positivity and body neutrality accounts. But she still sometimes compared herself with others, and “it can make me feel bad,” she said.",https://www.nytimes.com/2021/10/05/technology/teenage-girls-instagram.html,Technology,By Erin Woo,False
2021-10-05 15:11:43+00:00,"No, there isn’t proof that the private data of 1.5 billion Facebook users is being sold by hackers.",The problem is that the breach that Ms. Blackburn referenced is largely unverified.,"In her opening remarks at a Senate subcommittee hearing with a Facebook whistle-blower on Tuesday, Senator Marsha Blackburn from Tennessee made a stunning allegation.",https://www.nytimes.com/2021/10/05/technology/fb-hackers-data-sale.html,Technology,By Ryan Mac,False
2021-10-05 16:31:41+00:00,Facebook’s outage frustrates advertisers heading into the holiday season.,"“There may be heads on pikes by the end of this,” one agency executive said.","For more than five hours on Monday, while Facebook and Instagram were dark, David Herrmann fretted about ads.",https://www.nytimes.com/2021/10/05/business/media/facebook-outage-advertisers.html,Business Day,By Tiffany Hsu,True
2021-10-05 17:11:09+00:00,Parents sound off on testimony about the harms of Facebook and Instagram.,"“My daughter was damaged by Instagram,” one user tweeted.","The testimony on Tuesday from Frances Haugen, a former Facebook product manager-turned-whistle-blower, about how Facebook and Instagram can be addictive and harmful to children, set off anger among parents online.",https://www.nytimes.com/2021/10/05/technology/parents-sound-off-on-testimony-about-the-harms-of-facebook-and-instagram.html,Technology,By Kellen Browning,False
2021-10-05 18:03:09+00:00,Key takeaways from Facebook’s whistle-blower hearing.,Lawmakers in the hearing explored the role that Facebook’s algorithms play in amplifying problematic content.,"The hearing with Frances Haugen, the Facebook whistle-blower, covered plenty of ground — and in a more in-depth way than at previous congressional hearings with executives of the social network. That may be because Ms. Haugen, 37, a product manager who worked at Facebook for two years before leaving in May, appeared to speak more freely.",https://www.nytimes.com/2021/10/05/technology/what-happened-at-facebook-whistleblower-hearing.html,Technology,By Sheera Frenkel,False
2021-10-05 19:07:07+00:00,Just What Is Happening With Facebook?,“Stop using Facebook!” one reader urges. Another admits to a possible addiction but finds it useful. Readers offer varied opinions about the company.,To the Editor:,https://www.nytimes.com/2021/10/05/opinion/letters/facebook-outage-whistle-blower.html,Opinion,,False
2021-10-05 20:32:03+00:00,Facebook says its outage was caused by a cascade of errors.,"For more than five hours, the company’s family of apps, including Instagram and WhatsApp, were unavailable to the billions who use them.","A cascade of mistakes made during maintenance on Facebook’s network caused the outage that took its services offline Monday, the company said in a blog post published on Tuesday.",https://www.nytimes.com/2021/10/05/technology/facebook-outage-cause.html,Technology,By Kate Conger,True
2021-10-05 20:53:19+00:00,Facebook Whistle-Blower Urges Lawmakers to Regulate the Company,"Frances Haugen, who left the social network in May and leaked internal documents, gave senators rare insight into its inner workings.",WASHINGTON — A former Facebook product manager who turned into a whistle-blower gave lawmakers an unvarnished look into the inner workings of the world’s largest social network on Tuesday and detailed how the company was deliberate in its efforts to keep people — including children — hooked to its service.,https://www.nytimes.com/2021/10/05/technology/facebook-whistle-blower-hearing.html,Technology,By Cecilia Kang,False
2021-10-05 21:32:59+00:00,"Facebook, School Masks, YoungBoy: Your Tuesday Evening Briefing",Here’s what you need to know at the end of the day.,(Want to get this newsletter in your inbox? Here’s the sign-up.) ,https://www.nytimes.com/2021/10/05/briefing/facebook-school-masks-youngboy.html,Briefing,By Remy Tumin,False
2021-10-05 22:00:05+00:00,Facebook Was Down for a Few Hours. Should It Go Away Forever?,Leaked internal documents show that the world’s dependency on Facebook and its family of apps comes at a great cost.,This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.,https://www.nytimes.com/2021/10/05/opinion/facebook-whatsapp-instagram.html,Opinion,By Spencer Bokat-Lindell,True
2021-10-06 00:27:24+00:00,Brazen Is the Order of the Day at Facebook,But how long can we wait for action against the social media company?,Would I like to write about anything else in tech except Facebook? I would. Can I write about anything else in tech but Facebook? I cannot.,https://www.nytimes.com/2021/10/05/opinion/facebook-blackout-2021.html,Opinion,By Kara Swisher,False
2021-10-06 02:35:40+00:00,Quotation of the Day: Ex-Insider Says Facebook Hid Efforts to Hook Users,"Quotation of the Day for Wednesday, October 6, 2021.","“I’m here today because I believe Facebook’s products harm children, stoke division and weaken our democracy.”",https://www.nytimes.com/2021/10/05/todayspaper/quotation-of-the-day-ex-insider-says-facebook-hid-efforts-to-hook-users.html,Today’s Paper,,False
2021-10-06 07:00:02+00:00,Facebook Outage,"How were you and the people you know affected when Facebook, Instagram and WhatsApp were inaccessible for hours this week?","“Facebook and its family of apps, including Instagram and WhatsApp, were inaccessible for hours on Monday, taking out a vital communications platform used by billions and showcasing just how dependent the world has become on a company that is under intense scrutiny,” writes The Times. ",https://www.nytimes.com/2021/10/06/learning/facebook-outage.html,The Learning Network,By The Learning Network,True
2021-10-06 09:00:15+00:00,I Designed Algorithms at Facebook. Here’s How to Regulate Them.,Fixing how central they are to the platform’s content moderation could be the answer to its woes.,"Washington was entranced Tuesday by the revelations from Frances Haugen, the Facebook product manager-turned-whistle-blower. But time and again, the public has seen high-profile congressional hearings into the company followed by inaction. For those of us who work at the intersection of technology and policy, there’s little cause for optimism that Washington will turn this latest outrage into legislative action.",https://www.nytimes.com/2021/10/06/opinion/facebook-whistleblower-section-230.html,Opinion,By Roddy Lindsay,False
2021-10-06 10:00:09+00:00,The Facebook Whistle-Blower Testifies,Congressional testimony by a former employee could be a turning point for the social media giant.,The Senate testimony of Frances Haugen on Tuesday was an eagerly awaited event.,https://www.nytimes.com/2021/10/06/podcasts/the-daily/facebook-whistleblower-frances-haugen.html,Podcasts,"By Astead W. Herndon, Clare Toeniskoetter, Rob Szypko, Asthaa Chaturvedi, Rachel Quester, Neena Pathak, Paige Cowett, Dan Powell and Chris Wood",False
2021-10-06 13:38:57+00:00,Facebook Hearing Strengthens Calls for Regulation in Europe,"A whistle-blower who told Congress about the tech giant’s inner workings has spoken with top policymakers in Brussels, Britain and France about the need for tougher oversight.","LONDON — The congressional testimony from the Facebook whistle-blower, Frances Haugen, has intensified calls in Europe for new regulations aimed at the social media company and other Silicon Valley giants, proposals considered by many to be among the most stringent and far-reaching in the world.",https://www.nytimes.com/2021/10/06/technology/facebook-european-union-regulation.html,Technology,By Adam Satariano,False
2021-10-06 14:52:42+00:00,Takeaways From Tuesday’s Facebook Hearing,What we learned from Facebook whistleblower Frances Haugen’s Congressional testimony,What we learned from Facebook whistleblower Frances Haugen’s Congressional testimony,https://www.nytimes.com/interactive/2021/10/06/technology/facebook-hearing-frances-haugen-takeaways.html,Technology,"By Sheera Frenkel, Cecilia Kang, Mike Isaac and Kevin Roose",False
2021-10-06 17:22:44+00:00,How to Fix Facebook,This is a pivotal moment in Facebook’s history. Here are suggestions for how to improve the company.,This article is part of the On Tech newsletter. Here is a collection of past columns.,https://www.nytimes.com/2021/10/06/technology/facebook-fixes.html,Technology,By Shira Ovide,False
2021-10-07 06:07:50+00:00,Seth Meyers Breaks Down Facebook’s Very Bad Week,"“It’s the kind of week you normally post about on Facebook,” Meyers said on Wednesday night.","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",https://www.nytimes.com/2021/10/07/arts/television/seth-meyers-facebook-whistleblower.html,Arts,By Trish Bendix,True
2021-10-07 17:28:47+00:00,We’re Smarter About Facebook Now,"With each Facebook crisis, we become savvier about the influence of tech companies on our lives.",This article is part of the On Tech newsletter. Here is a collection of past columns.,https://www.nytimes.com/2021/10/07/technology/facebook-scandals.html,Technology,By Shira Ovide,False
2021-10-08 08:00:05+00:00,Lesson of the Day: ‘The Facebook Whistle-Blower Testifies’,"A former employee’s congressional testimony shed light on some of the social media giant’s most problematic practices. In this lesson, students will discuss how, or if, the company should be held accountable.",Featured Podcast: “The Daily” episode “The Facebook Whistle-Blower Testifies” hosted by Astead W. Herndon with special guest Sheera Frenkel,https://www.nytimes.com/2021/10/08/learning/lesson-plans/lesson-of-the-day-the-facebook-whistle-blower-testifies.html,The Learning Network,By Nicole Daniels,False
